embedder,labelling,k,granted_fraction,n_labels_granted,mechanism,bucket,metric,mean,lo,hi,draws
bge-m3,compartment,5,0.5,20,none,answerable,context_size,5.0,5.0,5.0,40
bge-m3,compartment,5,0.5,20,none,answerable,leaked,0.9554066643485847,0.63356081245111,1.2696022727272724,40
bge-m3,compartment,5,0.5,20,none,answerable,recall,0.669464100952108,0.6164761904761904,0.7373955548128343,40
bge-m3,compartment,5,0.5,20,none,unanswerable,any_hit,0.7059455098906705,0.6591717249989237,0.7522317073170732,40
bge-m3,compartment,5,0.5,20,none,unanswerable,authorized,0.03283996552972951,0.011106228195905564,0.06939631336405529,40
bge-m3,compartment,5,0.5,20,none,unanswerable,context_size,5.0,5.0,5.0,40
bge-m3,compartment,5,0.5,20,none,unanswerable,leaked,3.9718137025819744,3.4733143342226533,4.425591277249187,40
bge-m3,compartment,5,0.5,20,none,unanswerable,recall,0.6319605593749552,0.5771565894643189,0.6711696841087353,40
bge-m3,compartment,5,0.5,20,part,all,authorized,1.0,1.0,1.0,40
bge-m3,compartment,5,0.5,20,part,all,context_size,5.0,5.0,5.0,40
bge-m3,compartment,5,0.5,20,part,all,leaked,0.0,0.0,0.0,40
bge-m3,compartment,5,0.5,20,part,all,recall,0.3166408333333333,0.1899458333333333,0.44052916666666664,40
bge-m3,compartment,5,0.5,20,part,answerable,any_hit,0.7452582209169567,0.6971531210412578,0.8183155080213904,40
bge-m3,compartment,5,0.5,20,part,answerable,authorized,1.0,1.0,1.0,40
bge-m3,compartment,5,0.5,20,part,answerable,context_size,5.0,5.0,5.0,40
bge-m3,compartment,5,0.5,20,part,answerable,leaked,0.0,0.0,0.0,40
bge-m3,compartment,5,0.5,20,part,answerable,recall,0.6949366776719648,0.6468329799362922,0.771185661764706,40
bge-m3,compartment,5,0.5,20,part,unanswerable,any_hit,0.028567047185733486,0.010806739735981591,0.060174641148325346,40
bge-m3,compartment,5,0.5,20,part,unanswerable,authorized,1.0,1.0,1.0,40
bge-m3,compartment,5,0.5,20,part,unanswerable,context_size,5.0,5.0,5.0,40
bge-m3,compartment,5,0.5,20,part,unanswerable,leaked,0.0,0.0,0.0,40
bge-m3,compartment,5,0.5,20,part,unanswerable,recall,0.011540413381237687,0.0038369621987404626,0.023843328467547904,40
bge-m3,compartment,5,0.5,20,post,all,authorized,1.0,1.0,1.0,40
bge-m3,compartment,5,0.5,20,post,all,context_size,2.3804000000000003,1.3519500000000002,3.2815999999999996,40
bge-m3,compartment,5,0.5,20,post,all,leaked,0.0,0.0,0.0,40
bge-m3,compartment,5,0.5,20,post,all,recall,0.30464083333333336,0.18327916666666666,0.43067083333333334,40
bge-m3,compartment,5,0.5,20,post,answerable,any_hit,0.7170798620447002,0.6684910011248594,0.7803529411764706,40
bge-m3,compartment,5,0.5,20,post,answerable,authorized,1.0,1.0,1.0,40
bge-m3,compartment,5,0.5,20,post,answerable,context_size,4.044593335651415,3.7303977272727273,4.36643918754889,40
bge-m3,compartment,5,0.5,20,post,answerable,leaked,0.0,0.0,0.0,40
